File #,DateTime,Operator,Name,ID,Application,Method,ElapsedTime,Match Qual 1,Match Qual 2,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,Cl,Cl Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Br,Br Err,Rb,Rb Err,Sr,Sr Err,Mo,Mo Err,Cd,Cd Err,Ba,Ba Err,Hg,Hg Err,Pb,Pb Err,Multiplier,Cal Check
48067,07-15-2025 10:36,User,P3 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1676,0.0,0.0365,0.035,0.0118,0.0365,0.0037,0.1282,0.0033,0.0229,0.0126,0.8542,0.0054,0.2196,0.0022,0.0,0.0002,0,0,0.0003,0.0002,0.0021,0.0004,0.0069,0.0006,0.0,0.0001,0.0015,0.0001,0.0008,1,0,0.0002,0,0.0001,0.0,0.0002,0.0012,0.0003,0.0003,0.0002,0.0,0.0002,0,0.0018,0.0,0.0085,0,0.0002,0,0.0005,2,Passed
48068,07-15-2025 10:37,User,P3 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.167,0.0,0.0362,0.0404,0.0116,0.0453,0.0038,0.1074,0.0031,0.027,0.0124,0.8828,0.0055,0.1856,0.002,0.0,0.0002,0,0,0.0003,0.0002,0.0019,0.0004,0.0075,0.0006,0.0,0.0001,0.0015,0.0001,0.0007,1,0,0.0002,0,0.0001,0.0,0.0002,0.0017,0.0003,0.0005,0.0002,0.0,0.0002,0,0.0017,0.0,0.0085,0,0.0002,0,0.0005,2,Passed
48069,07-15-2025 10:38,User,P3 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1637,0.0,0.0351,0.0352,0.0115,0.041,0.0037,0.1064,0.003,0.0277,0.0124,0.8552,0.0054,0.1924,0.002,0.0002,0.0002,0,0,0.0,0.0002,0.0018,0.0004,0.0068,0.0006,0.0,0.0001,0.0016,0.0001,0.0008,1,0,0.0002,0,0.0001,0.0,0.0002,0.0017,0.0002,0.0004,0.0002,0.0,0.0002,0,0.0018,0.0,0.0085,0,0.0002,0,0.0005,2,Passed
48076,07-15-2025 10:43,User,P3 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1657,0.0,0.0382,0.0472,0.0125,0.0608,0.0043,0.1379,0.0034,0.0289,0.0128,1.0877,0.0061,0.1564,0.0019,0.0,0.0002,0,0,0.0,0.0002,0.0018,0.0003,0.005,0.0004,0.0,0.0001,0.0011,0.0001,0.0006,1,0,0.0001,0,0.0002,0.0,0.0001,0.0018,0.0002,0.0,0.0002,0.0,0.0003,0,0.0024,0.0,0.0075,0,0.0002,0,0.0004,2,Passed
48077,07-15-2025 10:44,User,P3 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1637,0.0,0.0379,0.0459,0.0121,0.0529,0.004,0.1196,0.0032,0.0267,0.0127,0.9803,0.0058,0.1494,0.0019,0.0,0.0002,0,0,0.0004,0.0002,0.0021,0.0003,0.0052,0.0004,0.0,0.0001,0.0012,0.0001,0.0005,1,0,0.0001,0,0.0002,0.0,0.0001,0.0018,0.0002,0.0,0.0002,0.0,0.0003,0,0.0023,0.0,0.0075,0,0.0002,0,0.0004,2,Passed
48078,07-15-2025 10:45,User,P3 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1601,0.039,0.0372,0.0397,0.0119,0.0512,0.004,0.1084,0.0031,0.0272,0.0127,0.9268,0.0057,0.1414,0.0018,0.0,0.0002,0,0,0.0003,0.0002,0.002,0.0003,0.0051,0.0004,0.0,0.0001,0.0013,0.0001,0.0006,1,0,0.0001,0,0.0002,0.0,0.0001,0.0017,0.0002,0.0,0.0002,0.0,0.0003,0,0.0023,0.0,0.0076,0,0.0002,0,0.0004,2,Passed
48085,07-15-2025 10:50,User,P4 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1752,0.0,0.0379,0.0458,0.0123,0.0493,0.004,0.1427,0.0034,0.0225,0.0128,1.0393,0.006,0.2128,0.0022,0.0003,0.0002,0,0,0.0,0.0002,0.0023,0.0004,0.0069,0.0006,0.0,0.0001,0.002,0.0002,0.0007,1,0,0.0002,0,0.0002,0.0,0.0002,0.0012,0.0003,0.0,0.0002,0.0,0.0002,0,0.0018,0.0,0.0084,0,0.0002,0,0.0005,2,Passed
48086,07-15-2025 10:51,User,P4 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1708,0.0,0.0394,0.0454,0.0124,0.0543,0.0042,0.1594,0.0036,0.0226,0.013,1.0794,0.0061,0.2225,0.0022,0.0,0.0002,0,0,0.0,0.0002,0.0022,0.0004,0.0078,0.0006,0.0,0.0001,0.0018,0.0001,0.0007,1,0,0.0002,0,0.0002,0.0,0.0002,0.001,0.0002,0.0,0.0002,0.0,0.0002,0,0.0019,0.0,0.0082,0,0.0002,0,0.0005,2,Passed
48087,07-15-2025 10:52,User,P4 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1722,0.0,0.038,0.0377,0.0124,0.0547,0.0042,0.155,0.0036,0.0232,0.0129,1.0987,0.0061,0.2028,0.0021,0.0,0.0002,0,0,0.0,0.0002,0.0021,0.0004,0.007,0.0006,0.0001,0.0001,0.0019,0.0001,0.0007,1,0,0.0002,0,0.0002,0.0,0.0002,0.0014,0.0003,0.0,0.0002,0.0,0.0002,0,0.0018,0.0,0.0082,0,0.0002,0,0.0005,2,Passed
48094,07-15-2025 10:58,User,P4 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1662,0.0,0.0374,0.0281,0.0119,0.0647,0.0043,0.1176,0.0032,0.0214,0.0125,1.1527,0.0062,0.1095,0.0016,0.0003,0.0002,0,0,0.0,0.0002,0.0019,0.0004,0.0064,0.0005,0.0,0.0001,0.0017,0.0001,0.0007,1,0,0.0001,0,0.0002,0.0,0.0002,0.001,0.0002,0.0,0.0002,0.0,0.0002,0,0.0019,0.0,0.0081,0,0.0002,0,0.0005,2,Passed
48095,07-15-2025 11:00,User,P4 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1672,0.0,0.037,0.0291,0.0117,0.0586,0.0041,0.1135,0.0032,0.0233,0.0124,1.1271,0.0062,0.1164,0.0017,0.0,0.0002,0,0,0.0003,0.0002,0.0021,0.0004,0.0072,0.0006,0.0,0.0001,0.0019,0.0002,0.0007,1,0,0.0002,0,0.0001,0.0,0.0002,0.0012,0.0003,0.0003,0.0002,0.0,0.0002,0,0.0017,0.0,0.0085,0,0.0002,0,0.0005,2,Passed
48096,07-15-2025 11:01,User,P4 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1689,0.0,0.0383,0.0348,0.0122,0.0641,0.0043,0.1495,0.0035,0.0269,0.0129,1.1517,0.0063,0.1185,0.0017,0.0,0.0002,0,0,0.0003,0.0002,0.0018,0.0004,0.0053,0.0005,0.0,0.0001,0.0016,0.0001,0.0007,1,0,0.0001,0,0.0002,0.0,0.0002,0.0011,0.0002,0.0,0.0002,0.0,0.0002,0,0.002,0.0,0.0079,0,0.0002,0,0.0005,2,Passed
48103,07-15-2025 11:06,User,P5 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1647,0.0,0.036,0.0306,0.0116,0.0507,0.0039,0.0994,0.003,0.0296,0.0124,0.9826,0.0058,0.1157,0.0017,0.0,0.0002,0,0,0.0,0.0002,0.0023,0.0004,0.0058,0.0005,0.0,0.0001,0.0017,0.0001,0.0005,1,0,0.0001,0,0.0002,0.0,0.0002,0.0013,0.0002,0.0003,0.0002,0.0,0.0002,0,0.0019,0.0,0.008,0,0.0002,0,0.0005,2,Passed
48104,07-15-2025 11:07,User,P5 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1659,0.0,0.0353,0.0375,0.0117,0.0511,0.004,0.1027,0.003,0.0253,0.0124,0.906,0.0055,0.1296,0.0017,0.0,0.0002,0,0,0.0,0.0002,0.0027,0.0004,0.0075,0.0006,0.0,0.0001,0.0016,0.0001,0.0007,1,0,0.0002,0,0.0001,0.0,0.0002,0.0013,0.0003,0.0003,0.0002,0.0,0.0002,0,0.0018,0.0,0.0082,0,0.0002,0,0.0005,2,Passed
48105,07-15-2025 11:08,User,P5 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1666,0.043,0.0378,0.0425,0.0119,0.0512,0.004,0.1171,0.0032,0.0179,0.0126,0.96,0.0057,0.155,0.0019,0.0002,0.0002,0,0,0.0004,0.0002,0.0028,0.0004,0.0072,0.0005,0.0,0.0001,0.0018,0.0001,0.0005,1,0,0.0002,0,0.0002,0.0,0.0002,0.0013,0.0002,0.0003,0.0002,0.0,0.0002,0,0.0019,0.0,0.0081,0,0.0002,0,0.0005,2,Passed
48112,07-15-2025 11:12,User,P5 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.173,0.0,0.0386,0.037,0.012,0.0484,0.004,0.1345,0.0034,0.025,0.013,1.0723,0.0061,0.2074,0.0022,0.0004,0.0002,0,0,0.0,0.0002,0.0024,0.0004,0.0067,0.0005,0.0,0.0001,0.0017,0.0001,0.0006,1,0,0.0001,0,0.0002,0.0,0.0002,0.0013,0.0002,0.0003,0.0002,0.0,0.0002,0,0.002,0.0,0.008,0,0.0002,0,0.0005,2,Passed
48113,07-15-2025 11:14,User,P5 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1712,0.0,0.0385,0.0366,0.0121,0.06,0.0042,0.1279,0.0033,0.0271,0.0129,1.0793,0.0061,0.1929,0.0021,0.0,0.0002,0,0,0.0,0.0002,0.0018,0.0003,0.0059,0.0005,0.0,0.0001,0.0016,0.0001,0.0005,1,0,0.0001,0,0.0002,0.0002,0.0002,0.0013,0.0002,0.0004,0.0002,0.0,0.0002,0,0.0021,0.0,0.0078,0,0.0002,0,0.0005,2,Passed
48114,07-15-2025 11:15,User,P5 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1742,0.0,0.0408,0.0343,0.0126,0.0807,0.0047,0.1371,0.0035,0.0348,0.0132,1.3322,0.0067,0.1618,0.002,0.0,0.0002,0,0,0.0,0.0002,0.0019,0.0003,0.0054,0.0005,0.0,0.0001,0.0016,0.0001,0.0006,1,0,0.0001,0,0.0002,0.0,0.0002,0.0012,0.0002,0.0003,0.0002,0.0,0.0003,0,0.0022,0.0,0.0077,0,0.0002,0,0.0004,2,Passed
48121,07-15-2025 11:19,User,P6 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1725,0.0,0.0379,0.0284,0.0121,0.0422,0.0039,0.1402,0.0034,0.0321,0.013,1.0933,0.0061,0.1483,0.0019,0.0003,0.0002,0,0,0.0,0.0002,0.0017,0.0004,0.0063,0.0005,0.0,0.0001,0.0018,0.0001,0.0007,1,0,0.0002,0,0.0001,0.0,0.0002,0.0012,0.0002,0.0005,0.0002,0.0,0.0002,0,0.0018,0.0,0.0084,0,0.0002,0,0.0005,2,Passed
48122,07-15-2025 11:20,User,P6 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1672,0.0,0.0374,0.0328,0.0121,0.0489,0.0041,0.136,0.0034,0.0339,0.0131,1.1383,0.0062,0.1677,0.002,0.0,0.0002,0,0,0.0,0.0002,0.0019,0.0004,0.0063,0.0005,0.0,0.0001,0.0017,0.0001,0.0007,1,0,0.0002,0,0.0002,0.0,0.0002,0.0011,0.0002,0.0,0.0002,0.0,0.0002,0,0.0018,0.0097,0.0082,0,0.0002,0,0.0005,2,Passed
48123,07-15-2025 11:22,User,P6 R1,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1722,0.0,0.0381,0.0304,0.012,0.0505,0.0041,0.1545,0.0036,0.0294,0.0132,1.1117,0.0062,0.1759,0.002,0.0,0.0002,0,0,0.0,0.0002,0.0019,0.0004,0.0064,0.0005,0.0,0.0001,0.0018,0.0001,0.0009,1,0,0.0002,0,0.0002,0.0,0.0002,0.001,0.0003,0.0004,0.0002,0.0,0.0002,0,0.0018,0.0,0.0083,0,0.0002,0,0.0005,2,Passed
48130,07-15-2025 11:26,User,P6 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1637,0.0,0.0373,0.0354,0.0118,0.0456,0.0039,0.1237,0.0033,0.0319,0.0127,0.9769,0.0058,0.1525,0.0019,0.0,0.0002,0,0,0.0,0.0002,0.0023,0.0004,0.0052,0.0005,0.0,0.0001,0.0014,0.0001,0.0005,1,0,0.0001,0,0.0002,0.0,0.0002,0.0011,0.0002,0.0004,0.0002,0.0,0.0002,0,0.002,0.0,0.0079,0,0.0002,0,0.0005,2,Passed
48131,07-15-2025 11:27,User,P6 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.1664,0.0,0.0363,0.0452,0.012,0.0399,0.0038,0.1326,0.0033,0.0317,0.0126,0.9139,0.0056,0.156,0.0019,0.0003,0.0002,0,0,0.0,0.0002,0.002,0.0004,0.0051,0.0005,0.0,0.0001,0.0013,0.0001,0.0006,1,0,0.0001,0,0.0002,0.0,0.0002,0.0009,0.0002,0.0,0.0002,0.0,0.0002,0,0.002,0.0,0.0079,0,0.0002,0,0.0005,2,Passed
48132,07-15-2025 11:28,User,P6 R2,Michele,PlantsF1,PlantsF1,60,0,0,0,0.0,0.172,0.0,0.0363,0.0383,0.012,0.0492,0.004,0.1204,0.0033,0.0297,0.0128,1.0498,0.006,0.1443,0.0018,0.0,0.0002,0,0,0.0004,0.0002,0.0021,0.0004,0.0058,0.0005,0.0,0.0001,0.0014,0.0001,0.0006,1,0,0.0001,0,0.0002,0.0,0.0002,0.0011,0.0002,0.0,0.0002,0.0,0.0002,0,0.002,0.0,0.0081,0,0.0002,0,0.0005,2,Passed
